"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"ElasticNet","Regularization","SE",88,0.000643306074905885,0.000981572361281137,0.000338266286375253,0.636363636363636,12,0.763553749605686,0.906139317091543
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_InvRMSE","Ensemble","SE",88,0.000637302694926518,0.000958146716593459,0.000320844021666941,0.613636363636364,12,0.756877808880852,0.90862072177733
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"AR(4)","Baseline","SE",88,0.000628480546022329,0.00104357074327843,0.000415090197256103,0.625,12,0.762921893471058,0.908382574151044
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"RandomForest","Tree","SE",88,0.000570191757375209,0.000969531045274848,0.000399339287899639,0.636363636363636,12,0.763528028758973,0.898749996344792
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Factor","Factor","SE",88,0.000554605625707718,0.000943273666144598,0.000388668040436881,0.579545454545455,12,0.74527758027565,0.910273529749209
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"BorutaRF","FeatureSelection+Tree","SE",88,0.000516478098150775,0.000942599782919399,0.000426121684768623,0.590909090909091,12,0.771910517648591,0.882974696879814
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"RW","Baseline","SE",88,0,0,0,0,12,,
"INDPRO","Industrial Production Index [INDPRO]",1,"BorutaRF","FeatureSelection+Tree","AE",90,0.373800831116341,0.482129630733929,0.108328799617587,0.766666666666667,12,0.587921321965125,0.913723802597075
"INDPRO","Industrial Production Index [INDPRO]",1,"XGBoost","Boosting","AE",90,0.352771194028423,0.479024782339274,0.126253588310851,0.666666666666667,12,0.636130465721787,0.842310909199617
"INDPRO","Industrial Production Index [INDPRO]",1,"RandomForest","Tree","AE",90,0.321193943985713,0.434336513681809,0.113142569696096,0.7,12,0.580731877649218,0.916969519751476
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_Median","Ensemble","AE",90,0.245594327315849,0.348954084549656,0.103359757233807,0.7,12,0.496955757891384,0.915140444677157
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_Mean","Ensemble","AE",90,0.238749245841164,0.339027506197183,0.100278260356019,0.688888888888889,12,0.503320301031268,0.888372685606111
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_InvRMSE","Ensemble","AE",90,0.236586180742256,0.336215461307425,0.0996292805651692,0.688888888888889,12,0.497976682478031,0.893373772723541
"INDPRO","Industrial Production Index [INDPRO]",1,"ElasticNet","Regularization","AE",90,0.182488047301733,0.339771572615778,0.157283525314045,0.666666666666667,12,0.52352167370928,0.85994884511202
"INDPRO","Industrial Production Index [INDPRO]",1,"LASSO","Regularization","AE",90,0.171111076768395,0.33837867527926,0.167267598510864,0.633333333333333,12,0.528694788544465,0.849533722292759
"INDPRO","Industrial Production Index [INDPRO]",1,"Ridge","Regularization","AE",90,0.161929089842675,0.342910476168137,0.180981386325463,0.644444444444444,12,0.51140638726122,0.872830195856312
"INDPRO","Industrial Production Index [INDPRO]",1,"AR(4)","Baseline","AE",90,0.161003952893588,0.332460458917558,0.17145650602397,0.677777777777778,12,0.557810448083078,0.897817971360224
"INDPRO","Industrial Production Index [INDPRO]",1,"Factor","Factor","AE",90,0.0799045466302754,0.3152570138582,0.235352467227925,0.611111111111111,12,0.495344025049766,0.81013799513678
"INDPRO","Industrial Production Index [INDPRO]",1,"RW","Baseline","AE",90,0,0,0,0,12,,
"INDPRO","Industrial Production Index [INDPRO]",1,"XGBoost","Boosting","SE",90,0.020451688177286,0.0334374271130204,0.0129857389357344,0.666666666666667,12,0.935599285280809,0.988260740558217
"INDPRO","Industrial Production Index [INDPRO]",1,"BorutaRF","FeatureSelection+Tree","SE",90,0.0192418923584944,0.0307173086466333,0.0114754162881389,0.766666666666667,12,0.922012794793215,0.9957185706823
"INDPRO","Industrial Production Index [INDPRO]",1,"RandomForest","Tree","SE",90,0.0159555864264924,0.0281563528697155,0.0122007664432232,0.7,12,0.921453544030473,0.993643629673918
"INDPRO","Industrial Production Index [INDPRO]",1,"AR(4)","Baseline","SE",90,0.00553269154076612,0.0241069451525982,0.0185742536118321,0.677777777777778,12,0.92587376175499,0.995061285988475
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_Mean","Ensemble","SE",90,0.00465763083671584,0.0151050187826192,0.0104473879459034,0.688888888888889,12,0.860440146502744,0.992412873159876
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_InvRMSE","Ensemble","SE",90,0.00349034388972519,0.0139786235037495,0.0104882796140244,0.688888888888889,12,0.84909943332129,0.993039739189302
"INDPRO","Industrial Production Index [INDPRO]",1,"RW","Baseline","SE",90,0,0,0,0,12,,
"INDPRO","Industrial Production Index [INDPRO]",1,"Ensemble_Median","Ensemble","SE",90,-0.00284126403063548,0.00898349309200614,0.0118247571226416,0.7,12,0.767800400732612,0.995106869983728
"INDPRO","Industrial Production Index [INDPRO]",1,"ElasticNet","Regularization","SE",90,-0.0103699725214396,0.00912003740655287,0.0194900099279925,0.666666666666667,12,0.782104540098952,0.9913148757032
"INDPRO","Industrial Production Index [INDPRO]",1,"LASSO","Regularization","SE",90,-0.011102584089556,0.00923104389406752,0.0203336279836236,0.633333333333333,12,0.775884480842588,0.990726368246913
